eom,target_month,mask,loss,baseline_loss,delta_abs,delta_rel,importance,rank
2017-01-31,2017-02-28,LowLeverage,3.0373609527932293,3.029530016609901,0.007830936183328419,0.0025848683262400477,0.05635665349546021,6.0
2017-01-31,2017-02-28,Accruals,3.0232142395000663,3.029530016609901,-0.006315777109834553,-0.0020847382515463645,0.0,7.0
2017-01-31,2017-02-28,DebtIssuance,3.025987670594276,3.029530016609901,-0.0035423460156249753,-0.0011692724601517317,0.0,8.0
2017-01-31,2017-02-28,Profitability,3.01850689745098,3.029530016609901,-0.011023119158920736,-0.0036385574985178084,0.0,9.0
2017-01-31,2017-02-28,Seasonality,3.011911575990861,3.029530016609901,-0.017618440619040054,-0.005815568924039053,0.0,10.0
2017-01-31,2017-02-28,ShortTermReversal,3.0257703533073728,3.029530016609901,-0.0037596633025280823,-0.00124100546352573,0.0,11.0
2017-01-31,2017-02-28,Size,3.0212817672557537,3.029530016609901,-0.008248249354147141,-0.002722616811493778,0.0,12.0
2017-01-31,2017-02-28,Value,3.0096131715271794,3.029530016609901,-0.0199168450827214,-0.0065742359288483675,0.0,13.0
2017-01-31,2017-02-28,ALL,3.029530016609901,3.029530016609901,0.0,0.0,0.0,
2017-02-28,2017-03-31,Momentum,3.1463122999991437,3.0929234984874094,0.05338880151173431,0.01726159781767769,0.34853266383544335,1.0
2017-02-28,2017-03-31,Quality,3.1375750921281975,3.0929234984874094,0.04465159364078808,0.014436695140576508,0.29149444144576137,2.0
2017-02-28,2017-03-31,LowRisk,3.1207382158026906,3.0929234984874094,0.02781471731528118,0.008993018200703617,0.18157998016857646,3.0
2017-02-28,2017-03-31,LowLeverage,3.1095839983391604,3.0929234984874094,0.016660499851751,0.005386651127937305,0.10876304074524927,4.0
2017-02-28,2017-03-31,ProfitGrowth,3.1001422058976162,3.0929234984874094,0.007218707410206804,0.0023339430845079434,0.04712515081603866,5.0
2017-02-28,2017-03-31,Investment,3.0963708086347874,3.0929234984874094,0.00344731014737798,0.0011145798300746471,0.022504722988931018,6.0
2017-02-28,2017-03-31,Accruals,3.078353969361962,3.0929234984874094,-0.01456952912544729,-0.004710601194168721,0.0,7.0
2017-02-28,2017-03-31,DebtIssuance,3.0882076046553637,3.0929234984874094,-0.004715893832045737,-0.0015247366559024299,0.0,8.0
2017-02-28,2017-03-31,Profitability,3.06935487789318,3.0929234984874094,-0.023568620594229373,-0.0076201757352729795,0.0,9.0
2017-02-28,2017-03-31,Seasonality,3.0722056778433484,3.0929234984874094,-0.020717820644061025,-0.006698458805784575,0.0,10.0
2017-02-28,2017-03-31,ShortTermReversal,3.0837295543659384,3.0929234984874094,-0.00919394412147101,-0.002972574047165181,0.0,11.0
2017-02-28,2017-03-31,Size,3.089244686757467,3.0929234984874094,-0.003678811729942222,-0.0011894286204431957,0.0,12.0
2017-02-28,2017-03-31,Value,3.0815645671389493,3.0929234984874094,-0.01135893134846011,-0.003672554899600712,0.0,13.0
2017-02-28,2017-03-31,ALL,3.0929234984874094,3.0929234984874094,0.0,0.0,0.0,
2017-03-31,2017-04-30,Momentum,3.1386661852067443,3.093298882887856,0.0453673023188883,0.014666317105618353,0.4219557069924975,1.0
2017-03-31,2017-04-30,Quality,3.1282040685156245,3.093298882887856,0.034905185627768454,0.01128412964581732,0.3246488445740653,2.0
2017-03-31,2017-04-30,LowRisk,3.1046849228533584,3.093298882887856,0.01138603996550236,0.003680872879271378,0.10590015931998906,3.0
